"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"2761";"ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2761";"Полихлорбутан-80";"613";"групповая";"16";"нет";"READY";""
"2762";"ПЕСТИЦИД ХЛОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2763";"ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2764";"ПЕСТИЦИД НА ОСНОВЕ ТРИАЗИНОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2771";"ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2772";"ПЕСТИЦИД НА ОСНОВЕ ТИОКАРБАМАТОВ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2775";"Меди (II) оксихлорид";"613";"групповая";"16";"нет";"READY";""
"2775";"ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2776";"ПЕСТИЦИД МЕДЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2777";"ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2778";"ПЕСТИЦИД РТУТЬСОДЕРЖАЩИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2779";"ПЕСТИЦИД - ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2780";"ПЕСТИЦИД - ПРОИЗВОДНЫЙ НИТРОФЕНОЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2781";"ПЕСТИЦИД - ПРОИЗВОДНЫЙ ДИПИРИДИЛА ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2782";"ПЕСТИЦИД - ПРОИЗВОДНЫЙ ДИПИРИДИЛА ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2783";"Диметоат";"613";"групповая";"16";"нет";"READY";""
"2783";"ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2784";"ПЕСТИЦИД ФОСФОРОРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2785";"4-Тиопентаналь";"612";"групповая";"6";"нет";"READY";""
"2786";"ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ТВЕРДЫЙ ЯДОВИТЫЙ";"613";"групповая";"16";"нет";"READY";""
"2787";"ПЕСТИЦИД ОЛОВООРГАНИЧЕСКИЙ ЖИДКИЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ЯДОВИТЫЙ с температурой вспышки менее 23 °C";"336";"групповая";"15";"нет";"READY";""
"2788";"СОЕДИНЕНИЕ ОЛОВООРГАНИЧЕСКОЕ ЖИДКОЕ, Н.У.К.";"630";"групповая";"36";"нет";"READY";""
"2789";"КИСЛОТА УКСУСНАЯ ЛЕДЯНАЯ или КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты более 80% $";"803";"групповая";"53";"нет";"READY";""
"2790";"КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты более 10% и менее 50% *";"801";"групповая";"42";"нет";"READY";""
"2790";"КИСЛОТЫ УКСУСНОЙ РАСТВОР с массовой долей кислоты не менее 50%, но не более 80%";"801";"групповая";"42";"нет";"READY";""
"2793";"СТРУЖКА, ОПИЛКИ или ОБРЕЗКИ ЧЕРНЫХ МЕТАЛЛОВ, подверженные самонагреванию";"405";"групповая";"36";"нет";"READY";""
"2794";"БАТАРЕИ ЖИДКОСТНЫЕ КИСЛОТНЫЕ электрические аккумуляторные";"834";"индивидуальная";"1";"нет";"READY";""
"2795";"БАТАРЕИ ЖИДКОСТНЫЕ ЩЕЛОЧНЫЕ электрические аккумуляторные";"835";"групповая";"3";"нет";"READY";""
"2796";"КИСЛОТА СЕРНАЯ, содержащая не более 51% кислоты, или ЖИДКОСТЬ АККУМУЛЯТОРНАЯ КИСЛОТНАЯ";"801";"групповая";"42";"нет";"READY";""
"2797";"Жидкость аккумуляторная щелочная";"809";"групповая";"11";"нет";"READY";""
"2798";"Фенилфосфордихлорид **, ##";"804";"групповая";"15";"нет";"READY";""
"2799";"Фенилфосфортиодихлорид **, #, ##";"804";"групповая";"15";"нет";"READY";""
"2800";"БАТАРЕИ ЖИДКОСТНЫЕ НЕПРОЛИВАЮЩИЕСЯ электрические, аккумуляторные";"836";"групповая";"2";"нет";"READY";""
"2801";"КРАСИТЕЛЬ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К., или ПОЛУПРОДУКТ СИНТЕЗА КРАСИТЕЛЕЙ ЖИДКИЙ КОРРОЗИОННЫЙ, Н.У.К.";"823";"групповая";"5";"нет";"READY";""
"2802";"Меди хлорид";"806";"групповая";"31";"нет";"READY";""
"2803";"Галлий";"813";"групповая";"3";"нет";"READY";""
"2805";"ЛИТИЯ ГИДРИД - ПЛАВ ТВЕРДЫЙ";"409";"групповая";"44";"нет";"READY";""
"2806";"Лития нитрид";"409";"групповая";"44";"нет";"READY";""
"2809";"Ртуть";"811";"групповая";"2";"нет";"READY";""
"2810";"1,2,3-Трихлорпропан";"615";"групповая";"4";"нет";"READY";""
"2810";"2-Фенилэтанол";"615";"групповая";"4";"нет";"READY";""
"2810";"2-Хлор-6-фторбензилхлорид";"615";"групповая";"4";"нет";"READY";""
"2810";"Аэрофлоты токсичные жидкие";"615";"групповая";"4";"нет";"READY";""
"2810";"Бутилцеллозольв";"615";"групповая";"4";"нет";"READY";""
"2810";"Глицедол";"615";"групповая";"4";"нет";"READY";""
"2810";"Ди-(2-этил)гексиловый эфир метилфосфоновой кислоты";"615";"групповая";"4";"нет";"READY";""
"2810";"Дитолилметан";"615";"групповая";"4";"нет";"READY";""
"2810";"ЖИДКОСТЬ ЯДОВИТАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"615";"групповая";"4";"нет";"READY";""
"2810";"Ингибитор коррозии ГИПХ-3-А";"615";"групповая";"4";"нет";"READY";""
"2810";"Ингибитор коррозии КХО-1";"615";"групповая";"4";"нет";"READY";""
"2810";"Ингибитор ПБ-5";"615";"групповая";"4";"нет";"READY";""
"2810";"Ингибиторы коррозии ядовитые, жидкие";"615";"групповая";"4";"нет";"READY";""
"2810";"Компонент пластифицирующих материалов";"615";"групповая";"4";"нет";"READY";""
"2810";"Кубовые остатки производства трихлорэтилена";"615";"групповая";"4";"нет";"READY";""
"2810";"Кубовый остаток системы ректификации этиленгликоля";"615";"групповая";"4";"нет";"READY";""
"2810";"Лаки каменноугольные";"615";"групповая";"4";"нет";"READY";""
"2810";"Латекс-наирит";"615";"групповая";"4";"нет";"READY";""
"2810";"Масло тунговое";"615";"групповая";"4";"нет";"READY";""
"2810";"Мономеры фурфурольноацетоновые ФА и ФАМ";"615";"групповая";"4";"нет";"READY";""
"2810";"Остатки кубовые концентрата винипола";"615";"групповая";"4";"нет";"READY";""
"2810";"Отвердитель полиоксипропиленаминный";"615";"групповая";"4";"нет";"READY";""
"2810";"Пек нефтяной жидкий";"615";"групповая";"4";"нет";"READY";""
"2810";"Пластификатор Диалкилфталат-789";"615";"групповая";"4";"нет";"READY";""
"2810";"Пластификатор Дикаприлфталат";"615";"групповая";"4";"нет";"READY";""
"2810";"Пластификаторы фосфатные";"615";"групповая";"4";"нет";"READY";""
"2810";"Поверхностно-активная добавка СПД";"615";"групповая";"4";"нет";"READY";""
"2810";"Полиур БТ";"615";"групповая";"4";"нет";"READY";""
"2810";"Полихлориды бензола";"615";"групповая";"4";"нет";"READY";""
"2810";"Препарат КЭАМ";"615";"групповая";"4";"нет";"READY";""
"2810";"Присадки к котельному топливу ""ВНИИНП-106"", ""Полифен""";"615";"групповая";"4";"нет";"READY";""
"2810";"Пронит";"615";"групповая";"4";"нет";"READY";""
"2810";"Пылеподавитель";"615";"групповая";"4";"нет";"READY";""
"2810";"Растворитель ЛТИ";"615";"групповая";"4";"нет";"READY";""
"2810";"Смолы сланцевые";"615";"групповая";"4";"нет";"READY";""
"2810";"Смолы фенолформальдегидные вспенивающиеся";"615";"групповая";"4";"нет";"READY";""
"2810";"Совтол-10";"615";"групповая";"4";"нет";"READY";""
"2810";"Состав огнегасительный ОГС N 7";"615";"групповая";"4";"нет";"READY";""
"2810";"Спирт гептиловый";"615";"групповая";"4";"нет";"READY";""
"2810";"Сырье коксохимическое для производства технического углерода, ядовитое жирное";"615";"групповая";"4";"нет";"READY";""
"2810";"Сырье нефтяное для производства технического углерода, ядовитое жирное";"615";"групповая";"4";"нет";"READY";""
"2810";"Тетрахлорпентан";"615";"групповая";"4";"нет";"READY";""
"2810";"Тетрахлорпропан";"615";"групповая";"4";"нет";"READY";""
"2810";"Тосолы";"615";"групповая";"4";"нет";"READY";""
"2810";"Трихлорэтилфосфат";"615";"групповая";"4";"нет";"READY";""
"2810";"Фенолоспирты";"615";"групповая";"4";"нет";"READY";""
"2810";"Фракция фенольная";"615";"групповая";"4";"нет";"READY";""
"2810";"Экстракт ароматический фенольный";"615";"групповая";"4";"нет";"READY";""
"2810";"Энит";"615";"групповая";"4";"нет";"READY";""
"2810";"Эфир диметиловый перфторадипиновой кислоты";"615";"групповая";"4";"нет";"READY";""
"2810";"Эфир диметиловый перфторпробковой кислоты";"615";"групповая";"4";"нет";"READY";""
"2810";"Эфир моногексиловый этиленгликоля";"615";"групповая";"4";"нет";"READY";""
"2811";"ВЕЩЕСТВО ТВЕРДОЕ ЯДОВИТОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"634";"групповая";"5";"нет";"READY";""
"2811";"Ингибиторы коррозии ядовитые, твердые";"634";"групповая";"5";"нет";"READY";""
"2811";"Кислота пикраминовая, паста, с содержанием воды не менее 43%";"634";"групповая";"5";"нет";"READY";""
"2811";"Пек нефтяной, ядовитый";"634";"групповая";"5";"нет";"READY";""
"2813";"ВЕЩЕСТВО ТВЕРДОЕ, РЕАГИРУЮЩЕЕ С ВОДОЙ, Н.У.К.";"421";"групповая";"12";"нет";"READY";""
"2813";"Катализатор ЦН";"421";"групповая";"12";"нет";"READY";""
"2813";"Натрия сплавы";"421";"групповая";"12";"нет";"READY";""
"2814";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ ДЛЯ ЛЮДЕЙ";"623";"групповая";"8";"нет";"READY";""
"2814";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ ДЛЯ ЛЮДЕЙ (только туши животных)";"623";"групповая";"8";"нет";"READY";""
"2814";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ ДЛЯ ЛЮДЕЙ, в охлажденном жидком азоте";"623";"групповая";"8";"нет";"READY";""
"2815";"N-Аминоэтилпиперазин";"807";"групповая";"31";"нет";"READY";""
"2817";"Аммония гидродифторида раствор **";"801";"групповая";"42";"нет";"READY";""
"2818";"Аммония полисульфида раствор";"809";"групповая";"11";"нет";"READY";""
"2819";"Амилфосфат ##";"803";"групповая";"53";"нет";"READY";""
"2820";"Кислота масляная";"803";"групповая";"53";"нет";"READY";""
"2821";"ФЕНОЛА РАСТВОР (р)";"608";"групповая";"78";"нет";"READY";""
"2822";"2-ХЛОРПИРИДИН ***";"608";"групповая";"78";"нет";"READY";""
"2823";"Кислота кротоновая, твердая";"803";"групповая";"53";"нет";"READY";""
"2826";"Этилхлортиоформиат";"814";"групповая";"2";"нет";"READY";""
"2829";"Кислота капроновая";"803";"групповая";"53";"нет";"READY";""
"2830";"Литий-ферросилиций";"409";"групповая";"44";"нет";"READY";""
"2831";"1,1,1-Трихлорэтан";"605";"групповая";"25";"нет";"READY";""
"2834";"Кислота фосфористая";"806";"групповая";"31";"нет";"READY";""
"2835";"Натрия алюмогидрид";"409";"групповая";"44";"нет";"READY";""
"2837";"БИСУЛЬФАТОВ ВОДНЫЙ РАСТВОР";"801";"групповая";"42";"нет";"READY";""
"2838";"Винилбутират стабилизированный";"306";"групповая";"53";"нет";"READY";""
"2839";"Альдоль";"607";"групповая";"7";"нет";"READY";""
"2840";"Бутиральдоксим";"326";"групповая";"7";"нет";"READY";""
"2841";"ДИ-н-АМИЛАМИН";"325";"групповая";"7";"нет";"READY";""
"2842";"Нитроэтан";"326";"групповая";"7";"нет";"READY";""
"2844";"КАЛЬЦИЯ-МАРГАНЦА СИЛИЦИД";"408";"групповая";"17";"нет";"READY";""
"2845";"ЖИДКОСТЬ ПИРОФОРНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"424";"групповая";"10";"нет";"READY";""
"2846";"ВЕЩЕСТВО ТВЕРДОЕ ПИРОФОРНОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"415";"групповая";"14";"нет";"READY";""
"2849";"3-Хлорпропанол-1";"625";"групповая";"8";"нет";"READY";""
"2850";"Пропилена тетрамер";"315";"групповая";"14";"нет";"READY";""
"2851";"Бора трифторида-дигидрат **";"801";"групповая";"42";"нет";"READY";""
"2852";"ДИПИКРИЛСУЛЬФИД УВЛАЖНЕННЫЙ с массовой долей воды не менее 10%";"404";"групповая";"52";"нет";"READY";""
"2853";"Магния фторсиликат";"603";"групповая";"61";"нет";"READY";""
"2854";"Аммония фторосиликат";"603";"групповая";"61";"нет";"READY";""
"2855";"ЦИНКА ФТОРОСИЛИКАТ";"619";"групповая";"18";"нет";"READY";""
"2856";"Кальция фторосиликат";"630";"групповая";"36";"нет";"READY";""
"2856";"Фторосиликаты, н.у.к.";"630";"групповая";"36";"нет";"READY";""
"2857";"УСТАНОВКИ РЕФРИЖЕРАТОРНЫЕ, содержащие невоспламеняющиеся нетоксичные газы или раствор аммиака (N ООН 2672)";"213";"групповая";"3";"нет";"READY";""
"2858";"ЦИРКОНИЙ СУХОЙ в виде спиралей из проволоки, обработанных металлических листов, полос (тоньше 254 микрон, но не тоньше 18 микрон)";"403";"групповая";"10";"нет";"READY";""
"2859";"Аммония метаванадат";"603";"групповая";"61";"нет";"READY";""
"2861";"Аммония поливанадат *";"603";"групповая";"61";"нет";"READY";""
"2862";"ВАНАДИЯ ПЕНТАОКСИД неплавленный";"603";"групповая";"61";"нет";"READY";""
"2863";"Натрия-аммония ванадат";"603";"групповая";"61";"нет";"READY";""
"2864";"Калия метаванадат";"603";"групповая";"61";"нет";"READY";""
"2865";"Гидроксиламина сульфат";"806";"групповая";"31";"нет";"READY";""
"2869";"Титана трихлорида смесь";"806";"групповая";"31";"нет";"READY";""
"2870";"Алюминия боргидрид";"409";"групповая";"44";"нет";"READY";""
"2870";"Алюминия боргидрид в устройствах";"409";"групповая";"44";"нет";"READY";""
"2871";"СУРЬМА - ПОРОШОК";"617";"групповая";"7";"нет";"READY";""
"2872";"Дибромхлорпропаны";"605";"групповая";"25";"нет";"READY";""
"2873";"ДИБУТИЛАМИНОЭТАНОЛ *";"614";"групповая";"10";"нет";"READY";""
"2874";"Спирт фурфуриловый";"607";"групповая";"7";"нет";"READY";""
"2875";"Гексахлорофен **";"616";"групповая";"38";"нет";"READY";""
"2876";"Резорцин";"620";"групповая";"18";"нет";"READY";""
"2878";"ТИТАН - ПОРИСТЫЕ ГРАНУЛЫ или ТИТАН - ПОРИСТЫЕ ПОРОШКИ";"403";"групповая";"10";"нет";"READY";""
"2879";"Селеноксихлорид";"801";"групповая";"42";"нет";"READY";""
"2880";"КАЛЬЦИЯ ГИПОХЛОРИТ ГИДРАТИРОВАННЫЙ или КАЛЬЦИЯ ГИПОХЛОРИТА ГИДРАТИРОВАННАЯ СМЕСЬ с содержанием воды не менее 5,5%, но не более 16%";"501";"групповая";"76";"нет";"READY";""
"2881";"Катализатор металлический сухой";"405";"групповая";"36";"нет";"READY";""
"2900";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ";"623";"групповая";"8";"нет";"READY";""
"2900";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ (только туши животных и отходы)";"623";"групповая";"8";"нет";"READY";""
"2900";"ВЕЩЕСТВО ИНФЕКЦИОННОЕ, ОПАСНОЕ только ДЛЯ ЖИВОТНЫХ, в охлажденном жидком азоте";"623";"групповая";"8";"нет";"READY";""
"2901";"Брома хлорид";"211";"групповая";"6";"нет";"READY";""
"2902";"ПЕСТИЦИД ЖИДКИЙ, ЯДОВИТЫЙ, Н.У.К.";"604";"групповая";"15";"нет";"READY";""
"2903";"ПЕСТИЦИД ЖИДКИЙ ЯДОВИТЫЙ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ, Н.У.К., с температурой вспышки не менее 23 °C";"610";"групповая";"15";"нет";"READY";""
"2904";"ХЛОРФЕНОЛЯТЫ ЖИДКИЕ или ФЕНОЛЯТЫ ЖИДКИЕ **";"804";"групповая";"15";"нет";"READY";""
"2905";"ХЛОРФЕНОЛЯТЫ ТВЕРДЫЕ или ФЕНОЛЯТЫ ТВЕРДЫЕ **";"804";"групповая";"15";"нет";"READY";""
"2907";"ИЗОСОРБИДДИНИТРАТА СМЕСЬ, содержащая не менее 60% лактозы, маннозы, крахмала или гидрофосфата кальция";"404";"групповая";"52";"нет";"READY";""
"2920";"Жидкость гидрофобизирующая ГКЖ-11Н";"825";"групповая";"2";"нет";"READY";""
"2920";"ЖИДКОСТЬ КОРРОЗИОННАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ, Н.У.К.";"825";"групповая";"2";"нет";"READY";""
"2920";"Триметиламмония гидроксид";"825";"групповая";"2";"нет";"READY";""
"2921";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"824";"индивидуальная";"1";"нет";"READY";""
"2922";"ЖИДКОСТЬ КОРРОЗИОННАЯ ЯДОВИТАЯ, Н.У.К.";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Композиция ДН-9010";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Лизол санитарный ""Алкилин""";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Натрия сульфгидрат, раствор";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Оксихлор";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Основания пиридиновые тяжелые каменноугольные";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"п-Хлорбензотрихлорид";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Пиридиновые основания, тяжелые";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Славсилан";"833";"индивидуальная";"1";"нет";"READY";""
"2922";"Смесь фтористоводородных и хлористоводородных кислот";"833";"индивидуальная";"1";"нет";"READY";""
"2923";"Бария гидроксид";"832";"групповая";"2";"нет";"READY";""
"2923";"ВЕЩЕСТВО ТВЕРДОЕ КОРРОЗИОННОЕ ЯДОВИТОЕ, Н.У.К.";"832";"групповая";"2";"нет";"READY";""
"2923";"Гидразин-сульфат";"832";"групповая";"2";"нет";"READY";""
"2923";"Трифенилхлорсилан";"832";"групповая";"2";"нет";"READY";""
"2923";"Хрома (III) сульфат основной (дубитель хромовый сухой)";"832";"групповая";"2";"нет";"READY";""
"2924";"Ангидрид изомасляный";"328";"групповая";"19";"нет";"READY";""
"2924";"Бактерициды марок СНПХ легковоспламеняющиеся коррозионные жидкие";"328";"групповая";"19";"нет";"READY";""
"2924";"Диметилхлорсилан";"328";"групповая";"19";"нет";"READY";""
"2924";"ЖИДКОСТЬ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ КОРРОЗИОННАЯ, Н.У.К.";"328";"групповая";"19";"нет";"READY";""
"2924";"Пиридиновые основания, легкие";"328";"групповая";"19";"нет";"READY";""
"2925";"ВЕЩЕСТВО ТВЕРДОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"414";"групповая";"2";"нет";"READY";""
"2926";"ВЕЩЕСТВО ТВЕРДОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ЯДОВИТОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"413";"групповая";"2";"нет";"READY";""
"2927";"2,3-Дибромпропанол-1";"640";"групповая";"11";"нет";"READY";""
"2927";"Акванит";"640";"групповая";"11";"нет";"READY";""
"2927";"Альдегид глутаровый (25 - 50% водный раствор)";"640";"групповая";"11";"нет";"READY";""
"2927";"ЖИДКОСТЬ ЯДОВИТАЯ КОРРОЗИОННАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"640";"групповая";"11";"нет";"READY";""
"2927";"Масло креозотное";"640";"групповая";"11";"нет";"READY";""
"2927";"Смола фенольная";"640";"групповая";"11";"нет";"READY";""
"2928";"ВЕЩЕСТВО ТВЕРДОЕ ЯДОВИТОЕ КОРРОЗИОННОЕ ОРГАНИЧЕСКОЕ, Н.У.К.";"640";"групповая";"11";"нет";"READY";""
"2928";"Фракция антраценовая";"640";"групповая";"11";"нет";"READY";""
"2929";"ЖИДКОСТЬ ЯДОВИТАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"636";"групповая";"3";"нет";"READY";""
"2930";"ВЕЩЕСТВО ТВЕРДОЕ ЯДОВИТОЕ ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ОРГАНИЧЕСКОЕ, Н.У.К.";"644";"групповая";"2";"нет";"READY";""
"2931";"Ванадилсульфат";"603";"групповая";"61";"нет";"READY";""
"2933";"Метил-2-хлорпропионат *";"327";"групповая";"6";"нет";"READY";""
"2934";"Изопропил-2-хлорпропионат *";"327";"групповая";"6";"нет";"READY";""
"2935";"Этил-2-хлорпропионат *";"327";"групповая";"6";"нет";"READY";""
"2936";"Кислота тиомолочная";"612";"групповая";"6";"нет";"READY";""
"2937";"СПИРТ альфа-МЕТИЛБЕНЗИЛОВЫЙ, ЖИДКИЙ (н)";"607";"групповая";"7";"нет";"READY";""
"2940";"9-ФОСФАБИЦИКЛОНОНАНЫ (ЦИКЛООКТАДИЕНФОСФИНЫ)";"405";"групповая";"36";"нет";"READY";""
"2941";"Фторанилины ***";"608";"групповая";"78";"нет";"READY";""
"2942";"2-Трифторметиланилин ***";"608";"групповая";"78";"нет";"READY";""
"2943";"Тетрагидрофурфуриламин";"326";"групповая";"7";"нет";"READY";""
"2945";"N-Метилбутиламин";"311";"групповая";"25";"нет";"READY";""
"2946";"2-АМИНО-5-ДИЭТИЛАМИНОПЕНТАН *";"614";"групповая";"10";"нет";"READY";""
"2947";"Изопропилхлорацетат *";"327";"групповая";"6";"нет";"READY";""
"2948";"3-Трифторметиланилин ***";"616";"групповая";"38";"нет";"READY";""
"2949";"НАТРИЯ ГИДРОСУЛЬФИД ГИДРАТИРОВАННЫЙ, содержащий не менее 25% кристаллизационной воды";"808";"групповая";"13";"нет";"READY";""
"2950";"МАГНИЙ В ГРАНУЛАХ ПОКРЫТЫХ, размер частиц не менее 149 микрон";"409";"групповая";"44";"нет";"READY";""
"2956";"5-трет-БУТИЛ-2,4,6-ТРИНИТРО-м-КСИЛОЛ (КСИЛОЛ МУСКУСНЫЙ)";"404";"групповая";"52";"нет";"READY";""
"2965";"ЭФИР БОРТРИФТОРДИМЕТИЛОВЫЙ";"407";"групповая";"5";"нет";"READY";""
"2966";"Тиогликоль";"612";"групповая";"6";"нет";"READY";""
"2967";"Кислота сульфаминовая";"806";"групповая";"31";"нет";"READY";""
"2968";"МАНЕБ СТАБИЛИЗИРОВАННЫЙ или МАНЕБА ПРЕПАРАТ СТАБИЛИЗИРОВАННЫЙ против самонагревания";"409";"групповая";"44";"нет";"READY";""
"2969";"БОБЫ КАСТОРОВЫЕ или МУКА КАСТОРОВАЯ или ЖМЫХ КАСТОРОВЫЙ или ХЛОПЬЯ КАСТОРОВЫЕ";"902";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties | В официальной АК отсутствует раздел: fireExplosionHazard | В официальной АК отсутствует раздел: humanHazard"
"2983";"ЭТИЛЕНА ОКСИДА И ПРОПИЛЕНА ОКСИДА СМЕСЬ, содержащая не более 30% этилена оксида";"302";"групповая";"2";"нет";"READY";""
"2984";"ВОДОРОДА ПЕРОКСИДА ВОДНЫЙ РАСТВОР, содержащий не менее 8%, но менее 20% водорода пероксида (стабилизированный, если необходимо)";"505";"групповая";"11";"нет";"READY";""
"2985";"Диметилхлорметилхлорсилан";"321";"групповая";"6";"нет";"READY";""
"2985";"Метилвинилдихлорсилан";"321";"групповая";"6";"нет";"READY";""
"2985";"Метилхлорметилдихлорсилан";"321";"групповая";"6";"нет";"READY";""
"2985";"Триэтилхлорсилан *";"321";"групповая";"6";"нет";"READY";""
"2985";"Хлорсиланы легковоспламеняющиеся коррозионные, Н.У.К.";"321";"групповая";"6";"нет";"READY";""
"2986";"Хлорсиланы коррозионные легковоспламеняющиеся, н.у.к.";"805";"групповая";"21";"нет";"READY";""
"2987";"Метил-(2-цианэтил)-дихлорсилан $";"817";"индивидуальная";"1";"нет";"READY";""
"2987";"Метилдифенилхлорсилан";"817";"индивидуальная";"1";"нет";"READY";""
"2987";"Хлорсиланы коррозионные, н.у.к.";"817";"индивидуальная";"1";"нет";"READY";""
"2987";"Цианэтилтрихлорсилан";"817";"индивидуальная";"1";"нет";"READY";""
"2988";"Фенилхлорсилан";"431";"групповая";"4";"нет";"READY";""
"2988";"Хлорсиланы, реагирующие с водой, легковоспламеняющиеся коррозионные, н.у.к.";"431";"групповая";"4";"нет";"READY";""
"2988";"Этилхлорсилан";"431";"групповая";"4";"нет";"READY";""
"2989";"СВИНЦА ФОСФИТ ДВУЗАМЕЩЕННЫЙ";"404";"групповая";"52";"нет";"READY";""
"2990";"СРЕДСТВА СПАСАТЕЛЬНЫЕ САМОНАДУВНЫЕ";"907";"групповая";"3";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: mainProperties"
