"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1197";"ЭКСТРАКТЫ ЖИДКИЕ для придания вкуса или аромата (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1197";"ЭКСТРАКТЫ ЖИДКИЕ для придания вкуса или аромата (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1198";"Формальдегида раствор легковоспламеняющийся";"320";"групповая";"5";"нет";"READY";""
"1199";"Фуральдегиды";"650";"групповая";"5";"нет";"READY";""
"1201";"Масло сивушное *";"307";"групповая";"20";"нет";"READY";""
"1202";"ГАЗОЙЛЬ или ТОПЛИВО ДИЗЕЛЬНОЕ или ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ (температура вспышки более 60 °C и не более 100 °C)";"315";"групповая";"14";"нет";"READY";""
"1202";"ГАЗОЙЛЬ или ТОПЛИВО ДИЗЕЛЬНОЕ или ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ (температура вспышки не более 60 °C)";"315";"групповая";"14";"нет";"READY";""
"1202";"Мазут с температурой вспышки не более 100 °C";"315";"групповая";"14";"нет";"READY";""
"1202";"ТОПЛИВО ДИЗЕЛЬНОЕ, соответствующее стандарту EN 590:2004, или ГАЗОЙЛЬ или ТОПЛИВО ПЕЧНОЕ ЛЕГКОЕ с температурой вспышки, указанной в стандарте EN 590:2004";"315";"групповая";"14";"нет";"READY";""
"1202";"Топливо моторное, с температурой вспышки не более 100 °C";"315";"групповая";"14";"нет";"READY";""
"1202";"Топливо нефтяное, с температурой вспышки не более 100 °C";"315";"групповая";"14";"нет";"READY";""
"1203";"Бензин газовый, стабильный";"305";"групповая";"36";"нет";"READY";""
"1203";"БЕНЗИН МОТОРНЫЙ или ГАЗОЛИН или ПЕТРОЛ";"305";"групповая";"36";"нет";"READY";""
"1204";"НИТРОГЛИЦЕРИНА СПИРТОВОЙ РАСТВОР с долей нитроглицерина не более 1%";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1206";"Гептаны";"305";"групповая";"36";"нет";"READY";""
"1207";"Гексальдегид";"316";"групповая";"55";"нет";"READY";""
"1208";"Гексаны";"305";"групповая";"36";"нет";"READY";""
